,ticker,open,eps,div
0,MMM,169.78,8.43,5.76 (3.39%)
1,ABT,87.08,1.84,1.44 (1.65%)
2,ABBV,90.05,2.18,4.72 (5.24%)
3,ABMD,179.85,4.79,N/A (N/A)
4,ACN,203.60,7.36,3.72 (1.83%)
5,ATVI,58.34,2.11,0.37 (0.63%)
6,ADBE,322.10,6.00,N/A (N/A)
7,AMD,42.79,0.19,N/A (N/A)
8,AAP,158.13,6.17,0.24 (0.16%)
9,AES,18.88,0.76,0.57 (3.03%)
10,AMG,86.68,-3.35,1.28 (1.50%)
11,AFL,53.33,4.05,1.08 (2.03%)
12,A,83.75,3.37,0.72 (0.85%)
13,APD,235.09,7.94,4.64 (1.98%)
14,AKAM,84.44,2.74,N/A (N/A)
15,ALK,70.41,4.92,1.40 (2.03%)
16,ALB,68.90,5.38,1.47 (2.22%)
17,ARE,155.29,1.09,4.12 (2.63%)
18,ALXN,109.43,6.52,N/A (N/A)
19,ALGN,269.48,5.21,N/A (N/A)
20,ALLE,123.53,4.79,1.08 (0.87%)
21,AGN,190.50,-27.98,2.96 (1.56%)
22,ADS,109.78,8.81,2.52 (2.31%)
23,LNT,54.08,2.24,1.42 (2.64%)
24,ALL,110.18,7.32,2.00 (1.82%)
25,GOOGL,"1,357.00",46.60,N/A (N/A)
26,GOOG,"1,356.60",46.60,N/A (N/A)
27,MO,50.90,0.93,3.36 (6.61%)
28,AMZN,"1,795.02",22.57,N/A (N/A)
29,AMCR,10.75,0.31,0.46 (4.26%)
30,AEE,75.57,3.25,1.98 (2.62%)
31,AAL,28.35,3.53,0.40 (1.41%)
32,AEP,93.46,4.31,2.80 (3.00%)
33,AXP,125.03,8.28,1.72 (1.38%)
34,AIG,51.75,2.01,1.28 (2.47%)
35,AMT,212.80,3.60,3.78 (1.78%)
36,AWK,120.88,3.50,2.00 (1.65%)
37,AMP,167.50,14.17,3.88 (2.32%)
38,ABC,82.67,4.04,1.60 (1.92%)
39,AME,99.56,3.70,0.56 (0.56%)
40,AMGN,242.21,13.00,6.40 (2.64%)
41,APH,107.17,3.81,1.00 (0.94%)
42,ADI,118.89,3.65,2.16 (1.82%)
43,ANSS,257.53,5.13,N/A (N/A)
44,ANTM,290.94,16.41,3.20 (1.10%)
45,AON,207.97,6.19,1.76 (0.85%)
46,AOS,46.83,2.40,0.96 (2.05%)
47,APA,22.43,-2.54,1.00 (4.53%)
48,AIV,50.47,2.29,1.56 (3.09%)
49,AAPL,279.80,11.89,3.08 (1.10%)
50,AMAT,60.82,2.86,0.84 (1.38%)
51,APTV,96.30,3.88,0.88 (0.92%)
52,ADM,46.14,2.10,1.40 (3.03%)
53,ARNC,31.33,0.81,0.08 (0.25%)
54,ANET,199.00,9.49,N/A (N/A)
55,AJG,95.67,3.63,1.72 (1.82%)
56,AIZ,131.86,4.17,2.52 (1.93%)
57,ATO,108.50,4.35,2.30 (2.12%)
58,T,38.60,2.23,2.08 (5.40%)
59,ADSK,182.00,0.67,N/A (N/A)
60,ADP,168.38,5.43,3.64 (2.16%)
61,AZO,"1,222.27",63.43,N/A (N/A)
62,AVB,207.60,7.21,6.08 (2.90%)
63,AVY,130.38,2.79,2.32 (1.77%)
64,BKR,24.38,N/A,0.72 (3.01%)
65,BLL,64.03,1.62,0.60 (0.93%)
66,BAC,35.11,2.71,0.72 (2.05%)
67,BK,51.11,3.84,1.24 (2.42%)
68,BAX,83.33,2.99,0.88 (1.06%)
69,BDX,268.76,3.94,3.16 (1.17%)
70,BRK.B,N/A,N/A,N/A (N/A)
71,BBY,86.68,5.66,2.00 (2.32%)
72,BIIB,297.63,27.96,N/A (N/A)
73,BLK,503.17,25.90,13.20 (2.63%)
74,BA,328.72,6.64,8.22 (2.51%)
75,BKNG,"2,008.67",97.36,N/A (N/A)
76,BWA,44.65,3.64,0.68 (1.52%)
77,BXP,134.27,3.35,3.80 (2.83%)
78,BSX,44.87,0.77,N/A (N/A)
79,BMY,63.87,3.46,1.80 (2.81%)
80,AVGO,324.40,6.43,13.00 (4.01%)
81,BR,122.73,3.91,2.16 (1.76%)
82,CHRW,77.52,4.79,2.04 (2.62%)
